Total cases:,44064,,
Number of cases with no cascades:,35934,,
Number of cases with cascades:,7131,,
Number of cases that OPF failed to converge:,0,,
Number of cases with errors:,999,,
,,,
Number of cascading event sequences:,531,,
Cascading events sequence,Times this pattern has appeared,No#,Simulations
"[('NSG_2', 'OverVoltage')]",2219,1,212-213-216-223-226-229-230-246-247-250-254-255-257-260-263-264-280-284-289-291-292-294-297-298-303-323-325-326-331-332-337-352-357-359-360-366-371-386-394-400-416-417-420-423-424-425-427-429-430-433-434-437-450-454-458-459-461-464-467-468-493-495-496-501-502-507-522-527-529-530-535-536-541-556-561-563-564-570-575-590-598-604-615-620-621-624-627-628-629-631-633-634-637-638-640-641-644-658-663-665-668-671-672-691-692-697-699-700-705-706-711-712-726-731-733-734-740-745-760-765-768-774-779-802-808-824-828-832-833-835-837-838-841-842-860-861-862-867-869-871-872-875-876-882-885-896-901-903-904-910-915-930-935-937-938-944-949-969-972-983-1003-1006-1018-1023-1030-1031-1032-1036-1037-1039-1041-1042-1045-1046-1049-1052-1065-1066-1071-1073-1080-1086-1100-1105-1107-1108-1114-1119-1139-1142-1153-1176-1187-1188-1207-1210-1222-1436-1437-1440-1443-1444-1445-1449-1450-1454-1460-1470-1471-1474-1478-1479-1481-1484-1488-1494-1513-1515-1518-1521-1522-1527-1542-1547-1549-1552-1555-1556-1561-1562-1576-1581-1583-1584-1590-1595-1610-1618-1624-1640-1641-1644-1647-1648-1649-1653-1654-1658-1661-1664-1674-1678-1683-1685-1688-1691-1692-1711-1712-1717-1719-1722-1725-1726-1731-1732-1746-1751-1753-1754-1760-1765-1780-1785-1788-1794-1799-1803-1820-1822-1828-1844-1848-1852-1853-1855-1857-1858-1862-1868-1880-1881-1887-1889-1891-1892-1895-1896-1902-1916-1921-1923-1930-1935-1936-1950-1955-1957-1958-1964-1969-1989-1992-1998-2003-2006-2023-2026-2032-2038-2048-2050-2051-2056-2057-2061-2062-2066-2072-2085-2086-2091-2093-2099-2100-2106-2120-2125-2127-2134-2139-2159-2162-2168-2173-2193-2196-2207-2208-2227-2228-2230-2242-2254-2255-2261-2263-2265-2269-2270-2276-2290-2295-2297-2304-2310-2324-2329-2331-2343-2344-2377-2378-2397-2400-2411-2412-2415-2431-2434-2446-2660-2661-2664-2667-2668-2669-2673-2674-2678-2684-2694-2698-2703-2705-2708-2711-2712-2731-2732-2737-2739-2742-2745-2746-2751-2752-2766-2771-2773-2774-2780-2785-2786-2800-2805-2808-2814-2839-2842-2848-2864-2868-2872-2873-2875-2877-2878-2882-2888-2898-2901-2907-2909-2911-2912-2915-2916-2922-2936-2941-2943-2949-2950-2955-2956-2970-2975-2977-2978-2984-2989-3009-3012-3018-3043-3046-3052-3058-3068-3070-3071-3076-3077-3081-3082-3086-3092-3105-3106-3111-3113-3119-3120-3126-3140-3145-3147-3154-3159-3160-3179-3182-3188-3193-3194-3213-3216-3222-3227-3228-3247-3250-3262-3275-3281-3283-3285-3286-3289-3290-3296-3310-3315-3317-3324-3330-3344-3349-3351-3358-3363-3364-3383-3386-3392-3397-3398-3417-3420-3431-3432-3451-3454-3466-3480-3485-3487-3489-3494-3500-3514-3519-3521-3528-3534-3567-3568-3587-3590-3601-3602-3621-3624-3635-3636-3639-3655-3658-3670-3884-3885-3888-3892-3893-3895-3897-3898-3902-3908-3918-3921-3927-3929-3931-3932-3935-3936-3942-3956-3961-3963-3969-3970-3975-3976-3990-3995-3997-3998-4004-4009-4029-4032-4038-4063-4066-4072-4078-4088-4089-4090-4091-4096-4097-4101-4102-4106-4112-4125-4126-4131-4133-4136-4139-4140-4146-4160-4165-4167-4174-4179-4180-4199-4202-4208-4213-4214-4233-4236-4242-4247-4248-4250-4267-4270-4276-4282-4295-4296-4301-4303-4305-4306-4309-4310-4316-4330-4335-4337-4344-4350-4364-4369-4371-4378-4383-4384-4403-4406-4412-4417-4418-4437-4440-4452-4471-4474-4486-4500-4505-4507-4513-4514-4520-4534-4539-4541-4548-4554-4568-4573-4582-4587-4588-4607-4610-4621-4622-4641-4644-4656-4675-4678-4690-4704-4709-4711-4718-4724-4743-4758-4777-4791-4792-4811-4814-4825-4826-4845-4848-4859-4860-4879-4882-4894-5108-5109-5110-5111-5116-5117-5121-5122-5125-5126-5132-5146-5151-5153-5156-5159-5160-5166-5180-5185-5187-5194-5199-5200-5219-5222-5228-5233-5234-5253-5256-5262-5268-5287-5290-5296-5302-5312-5315-5321-5323-5325-5326-5329-5330-5336-5350-5355-5357-5364-5370-5384-5389-5391-5398-5403-5404-5423-5426-5432-5437-5438-5457-5460-5466-5472-5491-5506-5520-5525-5527-5533-5534-5540-5554-5559-5561-5568-5574-5577-5588-5593-5602-5607-5608-5627-5630-5636-5641-5642-5661-5664-5676-5695-5698-5710-5724-5729-5731-5738-5744-5758-5763-5765-5772-5778-5797-5811-5812-5831-5834-5845-5846-5865-5868-5880-5882-5899-5914-5933-5948-5967-5982-6001-6015-6016-6035-6038-6049-6050-6069-6072-6084-6103-6106-6118-6332-6335-6341-6343-6345-6346-6349-6350-6356-6370-6375-6377-6383-6384-6389-6390-6404-6409-6411-6412-6418-6423-6424-6443-6446-6452-6457-6458-6477-6480-6486-6492-6511-6520-6526-6540-6545-6547-6553-6554-6560-6574-6579-6581-6588-6594-6613-6622-6627-6628-6647-6650-6656-6661-6662-6681-6684-6696-6715-6730-6744-6749-6751-6758-6764-6778-6783-6785-6792-6798-6817-6826-6831-6832-6851-6854-6865-6866-6885-6888-6900-6919-6934-6948-6953-6955-6962-6968-6987-7002-7021-7035-7036-7055-7058-7069-7070-7089-7092-7104-7123-7138-7152-7157-7159-7172-7191-7206-7214-7225-7239-7240-7259-7262-7273-7274-7293-7296-7308-7327-7330-7342-7556-7557-7559-7560-7563-7565-7567-7569-7570-7573-7574-7580-7590-7594-7597-7599-7601-7604-7607-7608-7614-7628-7633-7635-7641-7642-7648-7662-7667-7669-7676-7682-7701-7710-7716-7718-7735-7744-7749-7750-7760-7763-7764-7767-7769-7771-7774-7777-7778-7784-7798-7801-7803-7805-7811-7812-7818-7832-7837-7839-7846-7852-7866-7871-7873-7880-7886-7905-7914-7920-7939-7948-7953-7954-7964-7968-7971-7973-7975-7978-7981-7982-7988-8002-8007-8009-8015-8016-8022-8036-8041-8043-8050-8056-8075-8084-8090-8109-8124-8143-8152-8157-8158-8172-8175-8179-8185-8186-8206-8211-8213-8220-8226-8245-8247-8254-8260-8279-8294-8313-8328-8347-8362-8376-8383-8389-8390-8410-8415-8417-8424-8430-8449-8464-8483-8498-8517-8532-8551-8566-8780-8781-8783-8791-8794-8798-8804-8818-8823-8825-8831-8832-8838-8852-8857-8859-8866-8872-8886-8891-8893-8900-8906-8909-8925-8934-8940-8959-8968-8973-8974-8984-8991-8995-8998-9001-9002-9008-9022-9029-9035-9036-9042-9056-9061-9063-9070-9076-9095-9104-9110-9129-9138-9144-9163-9172-9177-9178-9180-9188-9192-9195-9199-9205-9206-9212-9226-9231-9233-9240-9246-9265-9267-9274-9280-9299-9308-9314-9333-9342-9348-9349-9367-9381-9382-9396-9403-9409-9410-9416-9430-9435-9437-9444-9450-9469-9484-9503-9518-9537-9552-9571-9585-9586-9600-9607-9614-9620-9639-9641-9654-9673-9688-9707-9722-9726-9741-9756-9775-9789-9790-9792-10004-10011-10015-10018-10021-10022-10028-10042-10049-10055-10056-10062-10076-10081-10083-10090-10096-10115-10124-10130-10149-10158-10163-10164-10183-10192-10197-10198-10208-10212-10215-10219-10225-10226-10232-10246-10251-10253-10260-10266-10285-10294-10300-10319-10328-10334-10353-10362-10368-10387-10396-10401-10402-10416-10423-10429-10430-10436-10450-10455-10457-10464-10470-10489-10498-10504-10509-10523-10532-10538-10557-10572-10605-10606-10620-10625-10627-10634-10640-10659-10661-10668-10674-10693-10708-10742-10776-10795-10809-10810-10829-10831-10838-10844-10863-10878-10912-10946-10965-10980-11013-11014-11228-11232-11235-11239-11242-11245-11246-11252-11266-11273-11280-11286-11305-11314-11320-11339-11348-11354-11382-11388-11390-11416-11421-11422-11436-11443-11449-11450-11456-11470-11475-11477-11484-11490-11509-11518-11524-11552-11558-11586-11592-11620-11625-11626-11640-11647-11654-11660-11679-11688-11694-11713-11722-11728-11756-11762-11796-11829-11830-11849-11851-11858-11864-11883-11892-11898-11932-11966-12000-12005-12033-12055-12062-12068-12089-12102-12136-12170-12237-12238-12456-12463-12469-12470-12476-12490-12497-12504-12510-12529-12538-12544-12572-12578-12606-12612-12640-12645-12646-12660-12667-12674-12680-12699-12708-12714-12742-12748-12776-12782-12810-12816-12849-12850-12869-12871-12878-12884-12903-12912-12918-12946-12952-12986-13020-13053-13075-13082-13088-13109-13116-13122-13156-13190-13257-13279-13286-13292-13360-13461-13462-13680-13687-13694-13700-13719-13728-13734-13762-13768-13796-13802-13830-13835-13869-13870-13891-13898-13904-13925-13932-13938-13966-13972-14000-14039-14040-14073-14095-14102-14108-14136-14170-14210-14243-14277-14299-14306-14340-14380-14447-14481-14503-14510-14564-14651-14685-14900-14901-14902-14903-14908-14911-14913-14914-14917-14918-14934-14935-14936-14937-14945-14947-14948-14951-14952-14968-14970-14971-14979-14982-14985-14986-15002-15005-15009-15013-15019-15020-15043-15047-15054-15088-15099-15104-15105-15106-15107-15109-15110-15112-15115-15117-15118-15121-15122-15138-15139-15140-15141-15149-15151-15152-15155-15156-15172-15175-15179-15183-15189-15190-15213-15217-15223-15224-15258-15278-15292-15308-15309-15310-15311-15319-15321-15325-15326-15342-15344-15345-15353-15356-15359-15360-15376-15379-15383-15387-15393-15394-15417-15421-15428-15448-15462-15482-15496-15530-15539-15546-15549-15553-15557-15563-15564-15587-15591-15597-15598-15618-15632-15652-15666-15757-15761-15767-15768-15791-15795-15802-15822-16125-16126-16129-16130-16132-16137-16138-16142-16158-16159-16160-16161-16172-16176-16192-16195-16203-16209-16210-16233-16237-16243-16244-16278-16298-16312-16329-16330-16341-16342-16346-16362-16364-16365-16376-16379-16380-16396-16399-16403-16407-16413-16414-16437-16441-16448-16468-16482-16502-16516-16532-16533-16534-16545-16546-16550-16566-16569-16577-16583-16584-16607-16611-16617-16618-16638-16652-16672-16686-16728-16736-16739-16750-16754-16777-16781-16787-16788-16808-16811-16815-16822-16842-16856-16899-16940-16943-16951-16958-16981-16985-16991-16992-17012-17019-17026-17037-17046-17349-17350-17361-17362-17366-17382-17384-17385-17396-17399-17400-17416-17419-17423-17427-17433-17434-17457-17461-17468-17488-17502-17522-17536-17552-17553-17554-17565-17566-17570-17586-17589-17597-17603-17604-17627-17631-17637-17638-17658-17672-17692-17706-17756-17759-17770-17774-17790-17797-17801-17807-17808-17828-17831-17835-17842-17862-17876-17960-17963-17971-17978-18001-18005-18011-18012-18032-18046-18066-18122-18171-18175-18181-18182-18202-18209-18215-18216-18236-18572-18573-18574-18585-18586-18590-18606-18609-18617-18623-18624-18647-18651-18657-18658-18678-18692-18712-18726-18760-18776-18779-18790-18794-18810-18817-18821-18827-18828-18848-18855-18862-18882-18896-18980-18983-18991-18997-18998-19021-19025-19031-19032-19052-19066-19086-19100-19142-19191-19195-19201-19202-19222-19229-19235-19236-19256-19270-19392-19395-19399-19405-19406-19426-19433-19440-19460-19796-19799-19810-19814-19830-19837-19841-19847-19848-19868-19875-19882-19902-19916-19950-20000-20003-20011-20017-20018-20041-20045-20051-20052-20072-20086-20106-20120-20204-20211-20215-20221-20222-20242-20249-20256-20276-20290-20412-20415-20419-20425-20426-20446-20460-20480-20616-20623-20629-20630-20650-20657-20664-21020-21031-21037-21038-21061-21065-21071-21072-21092-21106-21126-21140-21224-21231-21235-21241-21242-21262-21269-21276-21296-21310-21344-21432-21435-21439-21445-21446-21466-21480-21500-21514-21591-21636-21643-21649-21650-21670-21677-21684-21840-21847-21854-22251-22255-22262-22285-22289-22290-22296-22319-22323-22330-22353-22357-22364-22387-22391-22398-22404-22406-22421-22425-22432-22455-22459-22466-22471-22489-22493-22500-22523-22527-22534-22557-22561-22568-22591-22595-22602-22625-22629-22636-22659-22670-22693-22704-22738-22795-22806-23475-23479-23486-23491-23509-23513-23520-23543-23547-23554-23565-23577-23581-23588-23594-23611-23615-23622-23629-23645-23649-23656-23663-23679-23683-23690-23713-23717-23724-23732-23747-23751-23758-23781-23785-23792-23815-23819-23826-23894-23996-24699-24703-24710-24733-24737-24744-24767-24771-24778-24784-24801-24805-24812-24835-24839-24846-24869-24873-24880-24907-24914-24941-24948-24975-24982-25005-25009-25016-25073-25084-25277-25288-25481-25927-25934-25961-25968-25995-26002-26025-26029-26036-26059-26063-26070-26093-26104-26131-26137-26138-26165-26171-26172-26199-26205-26206-26263-26267-26274-26297-26308-26467-26478-26671-26682-27151-27157-27158-27185-27191-27192-27219-27225-27226-27253-27260-27283-27287-27294-27317-27328-27344-27347-27361-27362-27378-27381-27389-27395-27396-27457-27464-27487-27498-27661-27668-27691-27702-27722-27861-27872-27926-28364-28367-28381-28382-28398-28409-28415-28416-28432-28443-28449-28450-28477-28484-28507-28518-28568-28571-28586-28636-28647-28653-28654-28681-28688-28711-28722-28742-28851-28857-28858-28881-28892-28912-29055-29062-29116-29140-32638-33442-33658-33748-34678-34768-34848-35018-35804-35868-41968-42104-43294-
"[('G 05', 'Over-Speed'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A'),('Load_A')]",387,2,29383-29417-29451-29485-29519-29553-29587-29621-29655-29689-29723-29757-29791-29859-29893-29927-29961-29995-30029-30063-30097-30131-30165-30199-30233-30267-30301-30369-30437-30471-30505-30539-30607-30641-30675-30709-30743-30777-30811-30845-30879-30913-30947-30981-31015-31049-31083-31117-31151-31185-31219-31253-31287-31321-31355-31457-31491-31525-31559-31593-31627-31661-31695-31763-31797-31831-31865-31899-31933-31967-32001-32035-32069-32103-32137-32171-32239-32273-32307-32341-32375-32409-32477-32545-32579-32613-32681-32715-32749-32783-32817-32919-32987-33021-33055-33089-33123-33157-33191-33225-33259-33293-33327-33361-33395-33429-33497-33531-33599-33633-33667-33701-33735-33769-33803-33905-33973-34007-34041-34075-34143-34177-34211-34279-34313-34381-34415-34449-34483-34551-34585-34619-34653-34721-34755-34789-34823-34891-34925-34959-35027-35061-35095-35129-35197-35231-35265-35435-35469-35503-35537-35571-35605-35639-35707-35741-35775-35809-35843-35877-35911-35945-35979-36047-36081-36149-36183-36217-36251-36285-36319-36353-36421-36489-36659-36693-36727-36761-36795-36829-36863-36897-36931-36965-36999-37033-37067-37101-37135-37169-37203-37237-37271-37305-37339-37373-37407-37441-37475-37509-37543-37577-37611-37645-37679-37713-37747-37781-37815-37849-37883-37917-37985-38019-38053-38087-38121-38155-38189-38223-38257-38291-38325-38359-38393-38427-38461-38495-38529-38563-38597-38631-38665-38699-38733-38767-38801-38835-38869-38903-38937-38971-39005-39039-39073-39107-39141-39175-39209-39243-39277-39311-39345-39379-39413-39447-39481-39515-39549-39583-39617-39651-39685-39719-39753-39787-39821-39855-39889-39923-39957-39991-40025-40059-40093-40127-40161-40195-40229-40263-40297-40331-40365-40399-40433-40467-40501-40535-40569-40603-40637-40671-40705-40739-40773-40807-40841-40875-40909-40943-40977-41011-41045-41079-41113-41147-41181-41215-41249-41283-41317-41351-41385-41419-41453-41487-41521-41555-41589-41623-41657-41691-41725-41759-41793-41827-41861-41895-41929-41963-41997-42031-42065-42099-42133-42167-42201-42235-42269-42303-42337-42371-42405-42439-42473-42507-42541-42575-42609-42643-42711-42745-42779-42813-42847-42881-42915-42949-43017-43051-43085-43119-43153-43187-43221-43255-43289-43323-43357-43391-43459-43493-43527-43561-43595-43629-43663-43697-43731-43765-43799-43833-43867-43901-43935-43969-44003-
