Simulation no#,Line ,Load,Wind1,Wind2,Wind3,flag,Sequence
1,Line 04 - 05,0.7,0,0,0,0,[]
,,,,,,,
2,Line 06 - 07,0.7,0,0,0,0,[]
,,,,,,,
3,Line 06 - 11,0.7,0,0,0,0,[]
,,,,,,,
4,Line 10 - 11,0.7,0,0,0,0,[]
,,,,,,,
5,Line 10 - 13,0.7,0,0,0,0,[]
,,,,,,,
6,Line 13 - 14,0.7,0,0,0,0,[]
,,,,,,,
7,Line 16 - 19,0.7,0,0,0,1,"[('G 05', 'Over-Speed', '1.70')]"
,,,,,,,
8,Line 16 - 21,0.7,0,0,0,0,[]
,,,,,,,
9,Line 16 - 24,0.7,0,0,0,0,[]
,,,,,,,
10,Line 26 - 28,0.7,0,0,0,0,[]
,,,,,,,
11,Line 26 - 29,0.7,0,0,0,0,[]
,,,,,,,
12,Line 28 - 29,0.7,0,0,0,0,[]
,,,,,,,
13,Line 23 - 24,0.7,0,0,0,0,[]
,,,,,,,
14,Line 22 - 23,0.7,0,0,0,0,[]
,,,,,,,
15,Line 21 - 22,0.7,0,0,0,0,[]
,,,,,,,
16,Line 03 - 18,0.7,0,0,0,0,[]
,,,,,,,
17,Line 08 - 09,0.7,0,0,0,0,[]
,,,,,,,
18,Line 07 - 08,0.7,0,0,0,0,[]
,,,,,,,
19,Line 02 - 25,0.7,0,0,0,0,[]
,,,,,,,
20,Line 01 - 02,0.7,0,0,0,1,"[('G 01', 'Under-Speed', '5.00')]"
,,,,,,,
21,Line 25 - 26,0.7,0,0,0,0,[]
,,,,,,,
22,Line 17 - 18,0.7,0,0,0,0,[]
,,,,,,,
23,Line 26 - 27,0.7,0,0,0,0,[]
,,,,,,,
24,Line 17 - 27,0.7,0,0,0,0,[]
,,,,,,,
25,Line 16 - 17,0.7,0,0,0,0,[]
,,,,,,,
26,Line 15 - 16,0.7,0,0,0,0,[]
,,,,,,,
27,Line 14 - 15,0.7,0,0,0,0,[]
,,,,,,,
28,Line 04 - 14,0.7,0,0,0,0,[]
,,,,,,,
29,Line 03 - 04,0.7,0,0,0,0,[]
,,,,,,,
30,Line 02 - 03,0.7,0,0,0,0,[]
,,,,,,,
31,Line 01 - 39,0.7,0,0,0,1,"[('G 02', 'UV', '2.73'), ('G 01', 'Under-Speed', '5.79')]"
,,,,,,,
32,Line 09 - 39,0.7,0,0,0,0,[]
,,,,,,,
33,Line 05 - 08,0.7,0,0,0,0,[]
,,,,,,,
34,Line 05 - 06,0.7,0,0,0,0,[]
,,,,,,,
35,Line 04 - 05,0.7,0,0,0.2,0,[]
,,,,,,,
36,Line 06 - 07,0.7,0,0,0.2,0,[]
,,,,,,,
37,Line 06 - 11,0.7,0,0,0.2,0,[]
,,,,,,,
38,Line 10 - 11,0.7,0,0,0.2,0,[]
,,,,,,,
39,Line 10 - 13,0.7,0,0,0.2,0,[]
,,,,,,,
40,Line 13 - 14,0.7,0,0,0.2,0,[]
,,,,,,,
41,Line 16 - 19,0.7,0,0,0.2,1,"[('G 05', 'Over-Speed', '1.72')]"
,,,,,,,
42,Line 16 - 21,0.7,0,0,0.2,0,[]
,,,,,,,
43,Line 16 - 24,0.7,0,0,0.2,0,[]
,,,,,,,
44,Line 26 - 28,0.7,0,0,0.2,0,[]
,,,,,,,
45,Line 26 - 29,0.7,0,0,0.2,0,[]
,,,,,,,
46,Line 28 - 29,0.7,0,0,0.2,0,[]
,,,,,,,
47,Line 23 - 24,0.7,0,0,0.2,0,[]
,,,,,,,
48,Line 22 - 23,0.7,0,0,0.2,0,[]
,,,,,,,
49,Line 21 - 22,0.7,0,0,0.2,0,[]
,,,,,,,
50,Line 03 - 18,0.7,0,0,0.2,0,[]
,,,,,,,
51,Line 08 - 09,0.7,0,0,0.2,0,[]
,,,,,,,
52,Line 07 - 08,0.7,0,0,0.2,0,[]
,,,,,,,
53,Line 02 - 25,0.7,0,0,0.2,0,[]
,,,,,,,
54,Line 01 - 02,0.7,0,0,0.2,1,"[('G 02', 'UV', '2.70'), ('G 03', 'UV', '2.92'), ('G 01', 'Under-Speed', '6.64'), ('NSG_3', 'UnderVoltage', '9.29')]"
,,,,,,,
55,Line 25 - 26,0.7,0,0,0.2,0,[]
,,,,,,,
56,Line 17 - 18,0.7,0,0,0.2,0,[]
,,,,,,,
57,Line 26 - 27,0.7,0,0,0.2,0,[]
,,,,,,,
58,Line 17 - 27,0.7,0,0,0.2,0,[]
,,,,,,,
59,Line 16 - 17,0.7,0,0,0.2,0,[]
,,,,,,,
60,Line 15 - 16,0.7,0,0,0.2,0,[]
,,,,,,,
61,Line 14 - 15,0.7,0,0,0.2,0,[]
,,,,,,,
62,Line 04 - 14,0.7,0,0,0.2,0,[]
,,,,,,,
63,Line 03 - 04,0.7,0,0,0.2,0,[]
,,,,,,,
64,Line 02 - 03,0.7,0,0,0.2,0,[]
,,,,,,,
65,Line 01 - 39,0.7,0,0,0.2,0,[]
,,,,,,,
